,SE,S,NE,N
2025-10-16 04:00:00,0.0,0.0,0.0,0.0
2025-10-16 05:00:00,0.0,0.0,0.0,0.0
2025-10-16 06:00:00,0.0,0.0,0.0,0.0
2025-10-16 07:00:00,0.0,0.0,0.0,0.0
2025-10-16 08:00:00,0.011276409295616192,0.0020877123330821784,0.00033757877556994903,0.0014621822330848227
2025-10-16 09:00:00,0.16564644342897913,0.15015252325968492,0.03530189677977227,0.1711345799941732
2025-10-16 10:00:00,0.5049861692133153,0.4917847821092257,0.11368708505937558,0.665653863243616
2025-10-16 11:00:00,0.817762940168656,0.7838188051471208,0.2533775779350754,0.9247245234056338
2025-10-16 12:00:00,0.9651007074646674,0.8229746258095734,0.9059415297576372,0.9725530377772268
2025-10-16 13:00:00,0.9733243851509659,0.8241442358632742,0.8005620744207763,0.9659530994379549
